Год,Средняя з/п
2023,98616.58
2022,91464.48
2021,83023.75
2020,72621.19
2019,69830.14
2018,65444.29
2017,60363.96
2016,55612.63
2015,51448.11
2014,48552.13
2013,49086.2
2012,47461.96
2011,46448.47
2010,44657.86
2009,44811.68
2008,48411.03
2007,44449.05
2006,41317.38
2005,44938.75
2004,42967.04
2003,41304.52
