Город,Доля вакансий в %
Москва,0.396
Санкт-Петербург,0.158
Минск,0.046
Новосибирск,0.039
Алматы,0.036
Екатеринбург,0.031
Казань,0.028
Киев,0.024
Нижний Новгород,0.023
Ростов-на-Дону,0.019
Краснодар,0.018
Пермь,0.016
Ташкент,0.015
Самара,0.013
Томск,0.012
