Город,Уровень зарплат по городам
Москва,94379.76
Санкт-Петербург,80126.15
Минск,75572.4
Новосибирск,75316.43
Екатеринбург,70291.34
Казань,63336.43
Краснодар,62285.56
Нижний Новгород,60409.72
Челябинск,58764.1
Самара,58724.25
Уфа,57946.35
Красноярск,57408.41
Ростов-на-Дону,55099.18
Пермь,54556.6
Воронеж,52799.21
