year,key_skills_str,count
2019,"PHP, Yii, Zend Framework, JavaScript, jQuery, Ajax, HTML, CSS, Git, 1С-Битрикс, CMS Wordpress, OpenCart, Django Framework, Python",225
2019,JavaScript,224
2019,iOS,214
2019,"1С программирование, 1С: Предприятие 8",206
2019,QA,205
2019,PHP,204
2019,"Навыки продаж, Дистанционное обучение, Телефонные переговоры, Работа в команде, математика",195
2019,MS Excel,184
2019,"Английский язык, Пользователь ПК, 1С: Документооборот, Грамотность, Грамотная речь",149
2020,Пользователь ПК,741
2020,"Английский язык, Телефонные переговоры, Пользователь ПК, Навыки продаж, Прием и распределение телефонных звонков",650
2020,1С программирование,647
2020,"Активные продажи, Продажа страховых продуктов, Деловое общение, Навыки продаж, Обучение и развитие",638
2020,"Проведение презентаций, Организаторские навыки, Обучение и развитие, Грамотная речь",637
2020,Английский язык,608
2020,Java,521
2020,"Телефонные переговоры, Пользователь ПК, Навыки продаж, Прием и распределение телефонных звонков",501
2020,"Холодные продажи, CRM, Активные продажи, Холодные звонки, Клиентоориентированность",477
2020,"Работа с жалобами клиентов, Деловая переписка, Работа в команде, Клиентоориентированность, Деловое общение",466
2020,SQL,399
2020,Python,370
2020,"Навыки продаж, Дистанционное обучение, Телефонные переговоры, Работа в команде, математика",341
2020,"Ответственность, Клиентоориентированность",334
2020,"Английский язык, Пользователь ПК, 1С: Документооборот, Грамотность, Грамотная речь",304
2020,Чтение чертежей,286
2020,C++,273
2020,"Java, Spring Framework",273
2020,"Грамотность, Высокая скорость печати, Работа с большим объемом информации, Работа в команде",253
2020,JavaScript,251
2021,"Грамотная речь, Работа в команде, Работа с большим объемом информации, Обучение персонала, Деловая переписка",1137
2021,Английский язык,955
2021,1С программирование,885
2021,"Пользователь ПК, Работа в команде, Консультирование",864
2021,"Грамотная речь, Работа в команде, Пользователь ПК, Работа с большим объемом информации, Грамотность",735
2021,Пользователь ПК,644
2021,"Грамотная речь, Пользователь ПК, Работа с большим объемом информации, Грамотность, Работа в команде, Техническая поддержка, Наполнение контентом, Поиск информации в интернет, Навыки работы в команде, Творчество",634
2021,Java,613
2021,SQL,505
2021,Python,488
2021,"исходящие звонки, Телефонные переговоры, Пользователь ПК, Работа в команде, Грамотная речь",468
2021,"Работа с большим объемом информации, Грамотная речь, Пользователь ПК, Работа в команде, Грамотность",459
2021,"Ответственность, Клиентоориентированность",411
2021,"Грамотность, Грамотная речь, входящие звонки, Консультирование клиентов по телефону, Оценка потребностей клиентов, Пользователь ПК, Мобильность, Оперативный поиск информации в сети Интернет, Умение работать в команде, Деловое общение, Электронная почта, Ведение переговоров, Работа с жалобами клиентов",400
2021,"Java, Spring Framework",396
2021,"Грамотная речь, Работа в команде, входящие звонки, Консультирование, Телефонные переговоры",382
2021,Linux,372
2021,Работа в команде,365
2021,"Грамотная речь, Работа в команде, Обучение и развитие, Консультирование клиентов, Пользователь ПК, Грамотность, Дистанционное обучение, Ориентация на результат",360
2021,"Монтажник, Бригадир, Сотовая связь, БС, Базовые станции, Свап, Swap, РРЛ, МТС, Модернизация сети",359
2022,Работа в команде,2707
2022,Чтение чертежей,1476
2022,"Работа в команде, Чтение чертежей",997
2022,1С программирование,912
2022,Станки ЧПУ,812
