Год,Средняя з/п для бэка
2023,177720.18
2022,175478.36
2021,152842.01
2020,124061.09
2019,117288.92
2018,102517.89
2017,92418.31
2016,85108.13
2015,85933.41
2014,69156.92
2013,67092.65
2012,66621.25
2011,56633.64
2010,58952.98
2009,61594.3
2008,27098.0
