Год,Количество вакансий для бэка
2023,12313
2022,14597
2021,15770
2020,9283
2019,6550
2018,5295
2017,3599
2016,2476
2015,1317
2014,814
2013,438
2012,265
2011,115
2010,63
2009,26
2008,2
2007,5
